0,1106,920.0797210922751,Rantaväylä
0,2137,381.86716600832466,Unnamed Road
1,1927,7.052610900660621,Harjukatu
1,1654,89.79046499435162,Sepänkatu
2,795,928.2528430947186,Rantaväylä
3,1024,568.383180947067,Unnamed Road
3,2,230.38427385954475,Rantaväylä
4,3,332.1906138896308,Nelostie
5,2136,12.149627404793236,Tourulantie
5,84,122.10543806854523,Tourulantie
6,1021,344.4724161763488,Unnamed Road
6,7,1644.983602702712,Ysitie
8,1025,81.74684009567069,Tourulantie
8,4,244.900477539572,Unnamed Road
9,2267,1456.554624450623,Vaajakosken moottoritie
10,1326,338.4980596918029,Unnamed Road
10,4,605.5308092065152,Nelostie
11,403,77.78330339020715,Rantapellonpolku
11,1045,133.42260891626466,Wilhelm Schildtin katu
11,2053,297.6031833168141,Wilhelm Schildtin katu
12,2467,9.13582429373307,Pohjanlahdentie
12,2091,132.17908305648677,Pohjanlahdentie
12,1592,90.3967945355782,Kekkolantie
13,1189,681.9720909354172,Rantaväylä
14,1960,6.885555274596812,Taitoniekantie
14,1205,39.511122468172886,Wilhelm Schildtin katu
15,382,197.3009752517074,Volmarinkatu
15,2063,43.49589766058752,Sepänkatu
15,231,79.99015438114155,Sepänkatu
16,2035,11.49289081725823,Vesangantie
16,2532,8.419095118898989,Vesangantie
17,233,244.00699990429075,Viitaniementie
17,134,28.130196037126957,Viitaniementie
18,2078,12.089469017008936,Unnamed Road
19,1779,242.99509006098884,Erämiehenkatu
19,1777,214.6402314884003,Erämiehenkatu
19,1780,366.0437087816673,Köhniönkatu
20,1795,7.865155596836951,Pohjantie
20,2489,28.990058256978188,Survontie
21,1411,140.65150949937333,Pyssymiehenkatu
22,1444,1.820569344253453,Pohjantie
22,1400,177.12192185023227,Pohjantie
22,618,218.38935011561367,Ylistönmäentie
23,2030,290.2276135085555,Vesangantie
23,215,48.19608643009486,Voionmaankatu
24,1922,10.997259813820806,Sepänkatu
24,132,190.6220393669252,Nisulankatu
24,231,155.94261412555866,Sepänkatu
25,2408,143.14913581752785,Haarakatu
25,2405,57.06797226268991,Keskussairaalantie
26,2012,8.534700394457852,Rautpohjankatu
26,2401,48.04245219165982,Keskussairaalantie
26,984,94.28371048618446,Kannaksenkatu
27,1594,313.7153890946008,Jousimiehenkatu
27,1832,214.81398560464578,Pyssymiehenkatu
27,2046,77.40195174408036,Pyssymiehenkatu
27,997,149.66524388019502,Liipaisin
28,1738,183.93671169817074,Keihäsmiehenkatu
28,954,41.29770693574356,Loukkukatu
28,73,239.21202469140852,Erämiehenkatu
28,955,37.188990180770716,Erämiehenkatu
29,2068,12.843655847188197,Kalevankatu
29,191,121.56153970162548,Hannikaisenkatu
30,29,41.64852222970081,Kalevankatu
30,150,13.668044879617582,Vapaudenkatu
31,1648,34.99836082809108,Hannikaisenkatu
31,1792,161.9687737650015,Cygnaeuksenkatu
31,169,169.15628072542617,Hannikaisenkatu
32,2066,8.860481228161083,Wilhelm Schildtin katu
32,2423,17.358769725677206,Nisulankatu
33,1593,16.281760538830508,Wilhelm Schildtin katu
33,1830,163.56086264609274,Wilhelm Schildtin katu
33,1413,54.21088987234117,Lyhdekatu
34,1106,10.915660437421383,Hannikaisenkatu
34,2133,17.9084760336629,Rantaväylä
35,466,160.7225838938415,Kopparinkatu
35,1534,66.04453640666358,Kopparinkatu
35,1281,146.38332364655682,Polttolinja
35,464,59.10137043342271,Polttolinja
36,2040,9.120384771819728,Kypärätie
36,2036,62.21185475424825,Erämiehenkatu
37,76,86.83286636760714,Vuorikatu
37,1740,89.21178920181055,Pyssymiehenkatu
37,1734,81.87247968331116,Keihäsmiehenkatu
38,1772,49.289012969158364,Kahakatu
39,2063,22.268812775470167,Sepänkatu
39,45,46.39593447999534,Sepänkatu
40,2469,6.263553594483816,Pohjanlahdentie
40,1119,123.4663553863858,Polttolinja
40,2468,478.27237999011163,Pohjanlahdentie
41,1471,18.698149164765603,Unnamed Road
41,2526,55.34780658015226,Siltakatu
42,592,21.284894784257116,Tuomiojärvenranta
42,2565,47.002338757429975,Laajavuorentie
43,2046,23.541042759964764,Pyssymiehenkatu
43,1740,3.270101665304619,Pyssymiehenkatu
43,998,354.86940464039515,Korterinne
44,497,9.171402938459432,Pitkäkatu
44,2249,245.5316437770513,Voionmaankatu
44,173,166.82059015785262,Pitkäkatu
45,405,335.2159775812275,Viitaniementie
45,233,351.3074163874877,Viitaniementie
45,39,46.39593447999534,Sepänkatu
46,78,110.46203472289272,Luttoskatu
46,1080,86.56947782636374,Luttoskatu
46,81,232.52748974917944,Loukkukatu
46,954,266.0179817108278,Loukkukatu
47,41,15.499549451715497,Unnamed Road
47,1557,202.92928280470304,Suuruspääntie
48,540,51.339769797477736,Hämeenpohjantie
48,49,387.38517475567676,Lampitie
48,2433,32.54664049564107,Hämeenpohjantie
49,48,387.38517475567676,Lampitie
49,1126,62.48021053237259,Hämeenlahdentie
49,925,95.426622979566,Lampitie
50,917,14.375428232760346,Lampitie
50,1547,82.59156499700461,Unnamed Road
50,1817,64.83290356888571,Lampitie
51,2454,5.206033001029155,Sulkulantie
51,1817,135.80631868902654,Lampitie
51,2457,137.89597639379136,Sulkulantie
52,53,624.1213906770429,Kuokkalantie
52,2444,31.75079468598763,Kuokkalantie
53,54,176.72556547550144,Äijäläntie
53,52,624.121390677043,Kuokkalantie
53,1948,128.88744756144501,Kuokkalantie
54,55,71.75088197056074,Jokirannantie
54,828,206.8659320316507,Äijäläntie
54,53,176.72556547550144,Äijäläntie
55,56,150.5541045763254,Jokirannantie
